【2026년 적용 SW기술자 평균임금 사분위 값】,,,,,,,,,
,,,(단위: 원),,,,,,
구 분,25백분위수 (M/D),75백분위수 (M/D),평균임금 (M/D),,,,,,
① IT기획자,"409,146","869,906","578,206",,,,,,
② IT컨설턴트,"327,120","619,566","522,340",,,,,,
③ 업무분석가,"273,647","683,813","475,154",,,,,,
④ 데이터분석가,"229,167","600,256","414,600",,,,,,
⑤ IT PM,"348,998","629,825","492,039",,,,,,
⑥ IT아키텍트,"507,393","611,552","541,621",,,,,,
⑦ UI/UX기획/개발자,"212,985","431,286","336,666",,,,,,
⑧ UI/UX디자이너,"168,914","298,239","251,671",,,,,,
⑨ 응용SW개발자,"216,132","492,325","378,250",,,,,,
⑩ 시스템SW개발자,"199,695","349,228","284,888",,,,,,
⑪ 정보시스템운용자,"313,869","810,648","519,469",,,,,,
⑫ IT지원기술자,"179,756","289,225","252,196",,,,,,
⑬ IT마케터,"394,658","834,941","575,293",,,,,,
⑭ IT품질관리자,"297,782","634,845","538,638",,,,,,
⑮ IT테스터,"157,878","219,350","197,714",,,,,,
? IT감리,"479,701","729,390","572,934",,,,,,
? 정보보안전문가,"358,932","748,484","507,887",,,,,,
,,,,,,,,,
"※본 조사결과는 SW사업에서 SW기술자 임금 평균 값임을 고려하여 활용 가능하며, 수·발주자간 자율적 협의에 의해서도 유연하게 적용할 수 있음",,,,,,,,,
,,,,,,,,,
"※ 25/75 백분위수는 조사된 직무별 임금의 구간, 분포에 대한 참고 값임
(백분위수 : 백분위수는 크기가 있는 값들로 이뤄진 자료를 순서대로 나열했을 때 백분율로 나타낸 특정 위치의 값을 이르는 용어이다. 일반적으로 크기가 작은 것부터 나열하여 가장 작은 것을 0, 가장 큰 것을 100으로 한다.)",,,,,,,,,
,,,,,,,,,
"※ 일 임금 = 월 임금 ÷ 20.5(일), 시간 임금 = 일 임금 ÷ 8(시간)",,,,,,,,,
