화면 ID	화면 이름			유형	주요 구성	액션·이동	정책·비고
	1 Depth	2 Depth	3 Depth				
PKS-FL-001	온보딩			풀스크린 오버레이		진입: 첫 로그인	
PKS-FL-002	정규 학습 Player			풀스크린 오버레이		진입: PKS-HM-001 미션카드 /  PKS-CL-001 섹션2 레슨 터치	
PKS-FL-003	FRT Player			풀스크린 오버레이		진입: PKS-HM-001 미션카드 /  PKS-CL-001 섹션3 터치	
PKS-FL-004	복습 퀴즈 Player			풀스크린 오버레이		진입: PKS-CH-001 섹션2 터치	
PKS-FL-005	표현 노트 Player			풀스크린 오버레이		진입: PKS-CH-001 섹션3 터치	
PKS-HM-001	Home 탭			탭루트	섹션1_오늘의 Mission 카드: - 정규 - FRT	정규 터치 ➔ PKS-FL-002 FRT 터치 ➔ PKS-FL-003	• 정규 카드는 마지막 학습 기준(첫 로그인 시 추천 과정)
					섹션2_3 진척 위젯: - 발화량  - 이수율  - 수업 시간		
					섹션3_5축 다이아그램		
PKS-CL-001	수업 탭			탭루트	섹션1_상태 요약: - 진척률  - 남은 수업 수  - 발화량	발화량 터치 ➔ PKS-CH-001	
					섹션2_현재 선택된 과정: - 과정명  - 과정 소개  - 레슨 리스트	과정명 터치 ➔ PKS-CL-002 레슨 터치 ➔ PKS-FL-002	• 기본값: 진행해야 할 레슨 자동 강조 • 사용자가 직접 레슨 선택 가능
					섹션3_자유수업(FRT)	PKS-FL-003	
					섹션4_과정 탐색 버튼	PKS-CL-003	
PKS-CL-002	수업 탭	과정 변경		바텀시트	학습했던 과정 목록		• 과정 선택 시 PKS-CL-001 섹션2에 반영 • 한 개 레슨이라도 완료한 과정은 목록에 표시
PKS-CL-003	수업 탭	과정 탐색		푸시	- 추천 과정  - 카테고리 브라우징 - 직접 입력 검색		• 과정 선택 시 PKS-CL-001 섹션2에 반영
PKS-CH-001	챌린지 탭			탭루트	섹션1_발화량 3종 미터: 일간 / 주간 / 월간		• 랭킹은 enrollment와 무관하게 기관 내 전체 사용자 대상 • 닉네임 + ID 부분 마스킹 (예: BluePig(t***02))
					섹션2_복습 퀴즈	PKS-FL-004	• 표현 노트 + 망각곡선 기준 출제 • 정답 시 해당 표현의 마스터리 점수에 누적 반영 
					섹션3_표현 노트	PKS-FL-005	• 학습 중 저장한 표현들을 볼 수 있는 곳 • 복습 시(예: 듣고 따라 하기) 해당 표현 마스터리 점수에 반영
					섹션4_뱃지 컬렉션	더 보기 터치 ➔ PKS-CH-003	• 최근 획득 뱃지 3개만 메인에 표시
					섹션5_AI 캐릭터와 대화(v2.0 예정)		
PKS-CH-002	챌린지 탭	발화량 랭킹		바텀시트	동일 기관 내 랭킹		• 주간/월간만? 확인 필요
PKS-CH-003	챌린지 탭	뱃지 컬렉션		푸시	전체 뱃지 리스트		• 획득한 뱃지-컬러 • 획득하지 못한 뱃지-흑백
PKS-RP-001	리포트 탭			탭루트	섹션1_현재 리포트 수강기간 표시		• 수강 내역이 여러개 있는 경우 클릭해서 변경 가능 • 변경시 아래 섹션에 반영
					섹션2_현재 수강 종합 리포트 - Quality - Quantity - Growth - 레슨별 리포트 보기 버튼	레슨별 리포트 보기 버튼 터치  ➔ PKS-RP-002	• 절대 단위로 표기 • 동일 기관의 평균 표시 • 조회 기간 설정 가능(주간/월간/90일) • Quality: 발음(%) · 유창성(wpm) · 문법(오류/문장) · 화용(%) • Quantity: 발화(문장 수) · 듣기(분) · 섀도잉(회) • Growth: 5축 절대 변화량(지난 구간 대비)
					섹션3_약점 분석	추천에 따라 PKS-CL-001 또는 PKS-CH-001	• 약점 분석 후 학습 추천(Quality 부족은 정규과정 미션,  Quantity 부족시 챌린지·서브웨이, Growth 정체면 표현노트 복습)
					섹션4_1MP 갤러리 	PKS-RP-003	• 이번 수강만? 전체? 확인 필요_전체일 경우 섹션1과 분리
